reefName,year,chlA
U/N Reef (10-330),2002,NaN
Harrington Shoal (10-331),2002,0.469517403491617
U/N Reef (10-332),2002,NaN
U/N Reef (10-333),2002,NaN
Four Fathom Patches (10-334),2002,0.472488224505677
Harrington Reef (10-335),2002,0.46780344633746
Wyborn Reef (10-336),2002,0.464845041439829
U/N Reef (10-337),2002,0.455178562523696
Womer Reef (10-338),2002,0.459259473427773
Brewis Reef (10-339),2002,0.474354191196888
Turtle Island Reef (10-340),2002,0.474665301178078
Shortland Reef (10-341),2002,0.467487008781052
Trochus Reef (10-342),2002,0.484802714421054
U/N Reef (10-299),2002,0.45985794502212
Ida Reef (10-314),2002,NaN
Tree Reef (10-316),2002,NaN
Brush Islet Reef (10-317),2002,NaN
Albany Island Reef (No 1) (10-318a),2002,NaN
Albany Island Reef (No 2) (10-318b),2002,0.478082214395013
Albany Island Reef (No 3) (10-318c),2002,0.477515118368251
Albany Island Reef (No 4) (10-318d),2002,NaN
Mai Reef (10-320),2002,0.477559832130683
Albany Rock Reef (10-321),2002,0.477089175578004
North Brother Reef (10-322),2002,0.471493272775502
Middle Brother Reef (10-323),2002,0.470066558458681
South Brother Reef (10-324),2002,0.469626585095072
North Ledge (10-325),2002,0.46606182711565
Meggi-Damun Reef (10-326),2002,0.463527956851829
South Ledge (10-327),2002,0.465766454871461
Ulfa Reef (10-328),2002,0.479178284549941
Ariel Bank (10-329),2002,0.478620954578012
U/N Reef (10-401),2002,0.379309880231239
U/N Reef (10-402),2002,0.365657792728614
U/N Reef (10-403),2002,0.366490726319243
U/N Reef (10-404),2002,0.377917971569163
U/N Reef (10-405),2002,0.38154867865122
U/N Reef (10-406),2002,0.364204545607842
U/N Reef (10-407a),2002,0.365657385799208
Turtle Head Island Reef (No 1) (10-343a),2002,0.477541422973707
Turtle Head Island Reef (No 2) (10-343b),2002,0.47777362410886
Tern Reef (10-344),2002,0.471698755845672
U/N Reef (10-348),2002,0.445061594320163
U/N Reef (10-349),2002,0.41658158589043
U/N Reef (10-350),2002,0.412436368884235
U/N Reef (10-351),2002,0.451274758465962
U/N Reef (10-352),2002,0.434087600869999
U/N Reef (10-353),2002,0.45967996442027
U/N Reef (10-354),2002,0.429311230746798
U/N Reef (10-355),2002,0.436385074713775
U/N Reef (10-356),2002,0.420253682598245
U/N Reef (10-357),2002,0.430990619879436
U/N Reef (10-358),2002,0.43389247959486
U/N Reef (10-359),2002,0.406293765619864
U/N Reef (10-360),2002,0.440788363378692
U/N Reef (10-361),2002,0.419098932244927
U/N Reef (10-362),2002,0.449553479817525
U/N Reef (10-363),2002,0.449732042096794
U/N Reef (10-364),2002,0.455063378772649
Linda Reef (10-365),2002,0.460174210750435
U/N Reef (10-366),2002,0.441549024427283
U/N Reef (10-367),2002,0.423334561111892
U/N Reef (10-368),2002,0.436350696105403
U/N Reef (10-369),2002,0.439233312904758
U/N Reef (10-370),2002,0.453781013879352
U/N Reef (10-371),2002,0.448084143024949
U/N Reef (10-372),2002,0.462257104662585
U/N Reef (10-373),2002,0.466047856212994
U/N Reef (10-374),2002,0.426191186809423
U/N Reef (10-375a),2002,0.418049428606268
