year,reefName,cycImpact
1980,U/N Reef (10-330),0
1980,Harrington Shoal (10-331),0
1980,U/N Reef (10-332),0
1980,U/N Reef (10-333),0
1980,Four Fathom Patches (10-334),0
1980,Harrington Reef (10-335),0
1980,Wyborn Reef (10-336),0
1980,U/N Reef (10-337),0
1980,Womer Reef (10-338),0
1980,Brewis Reef (10-339),0
1980,Turtle Island Reef (10-340),0
1980,Shortland Reef (10-341),0
1980,Trochus Reef (10-342),0
1980,U/N Reef (10-299),0
1980,Ida Reef (10-314),0
1980,Tree Reef (10-316),0
1980,Brush Islet Reef (10-317),0
1980,Albany Island Reef (No 1) (10-318a),0
1980,Albany Island Reef (No 2) (10-318b),0
1980,Albany Island Reef (No 3) (10-318c),0
1980,Albany Island Reef (No 4) (10-318d),0
1980,Mai Reef (10-320),0
1980,Albany Rock Reef (10-321),0
1980,North Brother Reef (10-322),0
1980,Middle Brother Reef (10-323),0
1980,South Brother Reef (10-324),0
1980,North Ledge (10-325),0
1980,Meggi-Damun Reef (10-326),0
1980,South Ledge (10-327),0
1980,Ulfa Reef (10-328),0
1980,Ariel Bank (10-329),0
1980,U/N Reef (10-401),0
1980,U/N Reef (10-402),0
1980,U/N Reef (10-403),0
1980,U/N Reef (10-404),0
1980,U/N Reef (10-405),0
1980,U/N Reef (10-406),0
1980,U/N Reef (10-407a),0
1980,Turtle Head Island Reef (No 1) (10-343a),0
1980,Turtle Head Island Reef (No 2) (10-343b),0
1980,Tern Reef (10-344),0
1980,U/N Reef (10-348),0
1980,U/N Reef (10-349),0
1980,U/N Reef (10-350),0
1980,U/N Reef (10-351),0
1980,U/N Reef (10-352),0
1980,U/N Reef (10-353),0
1980,U/N Reef (10-354),0
1980,U/N Reef (10-355),0
1980,U/N Reef (10-356),0
1980,U/N Reef (10-357),0
1980,U/N Reef (10-358),0
1980,U/N Reef (10-359),0
1980,U/N Reef (10-360),0
1980,U/N Reef (10-361),0
1980,U/N Reef (10-362),0
1980,U/N Reef (10-363),0
1980,U/N Reef (10-364),0
1980,Linda Reef (10-365),0
1980,U/N Reef (10-366),0
1980,U/N Reef (10-367),0
1980,U/N Reef (10-368),0
1980,U/N Reef (10-369),0
1980,U/N Reef (10-370),0
1980,U/N Reef (10-371),0
1980,U/N Reef (10-372),0
1980,U/N Reef (10-373),0
1980,U/N Reef (10-374),0
1980,U/N Reef (10-375a),0
1980,U/N Reef (10-375b),0
