"reefName","shelfPos","dist2Shore","aveDepth","x","y","no3Ave","o2Ave","salAve","salSR","mud","waveStress","floodPrim","floodSec","floodTer","zone","area","coralHabProp","rubbleProp","perim"
"U/N Reef (10-330)","I",0.644510009653337,-3.31267642974854,142.59162903,-10.77950287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2160417.506,0.346510960261177,0.0489695129210742,9274.9666535894
"Harrington Shoal (10-331)","I",12.962273117231,-15.6363086700439,142.71060181,-10.79659367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1104408.176,0.346510960261177,0.0489695129210742,4138.28844011233
"U/N Reef (10-332)","I",2.05179967941868,-2.10832691192627,142.57356262,-10.82426262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,976995.7342,0.346510960261177,0.0489695129210742,3753.29861696695
"U/N Reef (10-333)","I",2.82429806126637,-2.15141987800598,142.57661438,-10.8354435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,454888.3485,0.346510960261177,0.0489695129210742,2758.62004146721
"Four Fathom Patches (10-334)","I",11.1428944633629,-21.4477939605713,142.68708801,-10.81985474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1683480.033,0.346510960261177,0.0489695129210742,4796.75893676139
"Harrington Reef (10-335)","I",14.0635201697097,-4.22168064117432,142.72311401,-10.82125187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1967176.707,0.346510960261177,0.0489695129210742,6915.63602178247
"Wyborn Reef (10-336)","I",16.399335833367,-2.85713243484497,142.76223755,-10.82104492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14826625.58,0.346510960261177,0.0489695129210742,17384.958688444
"U/N Reef (10-337)","I",28.8560187983793,-4.02199792861938,142.92880249,-10.80788326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,635652.1532,0.572003272417515,0.0489695129210742,2955.67861007496
"Womer Reef (10-338)","I",33.902590552054,-2.60096788406372,142.98362732,-10.79982185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3090350.244,0.572003272417515,0.0489695129210742,7183.32597677836
"Brewis Reef (10-339)","I",8.02865725002365,-2.72715044021606,142.69335938,-10.88696003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,170025.6307,0.346510960261177,0.0489695129210742,2401.0748390267
"Turtle Island Reef (10-340)","I",8.00819917066925,-4.7331395149231,142.69628906,-10.88979912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,289104.9077,0.346510960261177,0.0489695129210742,1987.24910108584
"Shortland Reef (10-341)","I",9.1487121969693,-2.41905832290649,142.77270508,-10.90133476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3614442.336,0.346510960261177,0.0489695129210742,8917.49211710557
"Trochus Reef (10-342)","I",1.7514260921648,0.0876151323318481,142.63183594,-10.92067909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,655063.5584,0.346510960261177,0.0489695129210742,6456.21316977005
"U/N Reef (10-299)","I",44.9009968364213,-3.17871952056885,143.08961487,-10.77538872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3584080.437,0.59546784025367,0.0354809611021513,8284.14207088717
"Ida Reef (10-314)","I",0.8120438334008,-1.38048768043518,142.55873108,-10.71000767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,446261.6148,0.346510960261177,0.0489695129210742,2807.69137706813
