reefName,year,sst
U/N Reef (10-330),1981,29.2529805157636
Harrington Shoal (10-331),1981,29.2166396023934
U/N Reef (10-332),1981,29.2545356587467
U/N Reef (10-333),1981,29.2545356587467
Four Fathom Patches (10-334),1981,29.2187543852716
Harrington Reef (10-335),1981,29.2166396023934
Wyborn Reef (10-336),1981,29.2058933942746
U/N Reef (10-337),1981,29.1472875393503
Womer Reef (10-338),1981,29.1333495548793
Brewis Reef (10-339),1981,29.2215859429878
Turtle Island Reef (10-340),1981,29.2215859429878
Shortland Reef (10-341),1981,29.1963334083557
Trochus Reef (10-342),1981,29.2406387672768
U/N Reef (10-299),1981,29.1178642210922
Ida Reef (10-314),1981,29.2583208513689
Tree Reef (10-316),1981,29.2537228352315
Brush Islet Reef (10-317),1981,29.2537228352315
Albany Island Reef (No 1) (10-318a),1981,29.2537228352315
Albany Island Reef (No 2) (10-318b),1981,29.2492482704029
Albany Island Reef (No 3) (10-318c),1981,29.2492482704029
Albany Island Reef (No 4) (10-318d),1981,29.2492482704029
Mai Reef (10-320),1981,29.2390225059108
Albany Rock Reef (10-321),1981,29.2294574536775
North Brother Reef (10-322),1981,29.216258015549
Middle Brother Reef (10-323),1981,29.216258015549
South Brother Reef (10-324),1981,29.2107266778344
North Ledge (10-325),1981,29.202686778286
Meggi-Damun Reef (10-326),1981,29.2001772012796
South Ledge (10-327),1981,29.202686778286
Ulfa Reef (10-328),1981,29.2492482704029
Ariel Bank (10-329),1981,29.2419412074945
U/N Reef (10-401),1981,28.9029287913489
U/N Reef (10-402),1981,28.8509222322756
U/N Reef (10-403),1981,28.8509222322756
U/N Reef (10-404),1981,28.9015883807988
U/N Reef (10-405),1981,28.9119250268647
U/N Reef (10-406),1981,28.8382829560174
U/N Reef (10-407a),1981,28.8687620733538
Turtle Head Island Reef (No 1) (10-343a),1981,29.2179452996505
Turtle Head Island Reef (No 2) (10-343b),1981,29.2179452996505
Tern Reef (10-344),1981,29.2183294932048
U/N Reef (10-348),1981,29.0361060490684
U/N Reef (10-349),1981,28.980513503586
U/N Reef (10-350),1981,28.9650285416755
U/N Reef (10-351),1981,29.0492250309434
U/N Reef (10-352),1981,29.0138996774836
U/N Reef (10-353),1981,29.1178642210922
U/N Reef (10-354),1981,29.0102572296605
U/N Reef (10-355),1981,29.0375642554705
U/N Reef (10-356),1981,28.9775736490885
U/N Reef (10-357),1981,29.0311369719329
U/N Reef (10-358),1981,29.0194458816991
U/N Reef (10-359),1981,28.9970127344131
U/N Reef (10-360),1981,29.0311369719329
U/N Reef (10-361),1981,29.0001864680537
U/N Reef (10-362),1981,29.0576480303624
U/N Reef (10-363),1981,29.0777734554175
U/N Reef (10-364),1981,29.0831386001022
